từ mới,cách đọc,nghĩa tiếng việt,ví dụ sử dụng minh hoạ
調える,ととのえる,chuẩn bị đầy đủ; thu xếp,必要な書類を調えてから、窓口で申請した。
痛める,いためる,làm đau; làm tổn thương,重い荷物を持ち上げたときに、腰を痛めてしまった。
通じる,つうじる,thông; truyền đạt được; hiểu nhau,言葉が十分に通じなくても、身振りで気持ちを伝えられた。
締める,しめる,thắt; siết; đóng,安全のためシートベルトを締める。
諦める,あきらめる,từ bỏ; đành chấp nhận,一度失敗しただけで、夢を諦めてはいけない。
転がる,ころがる,lăn; ngã lăn,坂道をボールが転がっていった。
努める,つとめる,nỗ lực; cố gắng,利用者の意見を聞き、サービスの改善に努めている。
倒す,たおす,làm đổ; đánh bại,決勝で強敵を倒し、初めて優勝した。
踏まえる,ふまえる,dựa trên; xét đến,調査の結果を踏まえて、今後の計画を立てる。
逃す,のがす,bỏ lỡ; để thoát,迷っているうちに、応募の機会を逃してしまった。
曇る,くもる,trở nên âm u; bị mờ,急に空が曇り、雨が降り始めた。
納まる,おさまる,được cất gọn; nằm vừa; được nộp đủ,すべての荷物が、車のトランクにきれいに納まった。
納める,おさめる,nộp; cất vào; giao nộp,期限までに税金を納めなければならない。
破る,やぶる,xé; phá vỡ,大切な約束を破ってはいけない。
配る,くばる,phân phát,参加者に資料を配る。
迫る,せまる,đến gần; áp sát; thúc ép,提出の期限が迫っているので、急いで仕上げよう。
抜ける,ぬける,rụng; tuột; thoát ra,春になると犬の毛が抜ける。
避ける,さける/よける,tránh; né,混雑を避けるため、いつもより早く家を出た。
負かす,まかす,đánh bại; làm đối phương thua,弟は将棋の大会で、年上の選手を負かした。
片付く,かたづく,được dọn gọn; được giải quyết xong,仕事が片付いたら、一緒に食事に行こう。
片付ける,かたづける,dọn dẹp; giải quyết cho xong,食事の後で、食器を片付けた。
保つ,たもつ,giữ; duy trì,健康を保つため、食事と睡眠に気を配っている。
歩む,あゆむ,bước đi; đi qua một chặng đường cuộc đời,彼は医師としての道を三十年間歩んできた。
補う,おぎなう,bù đắp; bổ sung,不足している知識を補うため、専門書を読んでいる。
崩す,くずす,phá vỡ; làm sụp; làm mất cân bằng,無理を続けて、体調を崩してしまった。
崩れる,くずれる,sụp đổ; đổ vỡ; xấu đi,大雨で山の斜面が崩れ、道路が通れなくなった。
訪れる,おとずれる,đến thăm; đến; xuất hiện,十年ぶりに故郷を訪れ、昔の友人に会った。
飽きる,あきる,chán; ngán,同じ料理を毎日食べて飽きた。
望む,のぞむ,mong muốn; hy vọng,住民は、一日も早い復旧を望んでいる。
埋める,うめる,chôn; lấp; điền kín,穴を土で埋める。
満たす,みたす,làm đầy; đáp ứng; thỏa mãn,応募するには、募集要項にある条件を満たす必要がある。
黙る,だまる,im lặng,質問されても彼は黙っていた。
優れる,すぐれる,vượt trội; xuất sắc,この製品は、耐久性に優れている。
誘う,さそう,mời; rủ; gây nên,週末のコンサートに友人を誘った。
余る,あまる,dư; thừa,料理が少し余った。
与える,あたえる,trao; gây ra,子どもに良い影響を与える。
養う,やしなう,nuôi dưỡng; nuôi sống; bồi dưỡng,読書を通して、想像力を養うことができる。
抑える,おさえる,kiềm chế; giữ; hạn chế,塩分を抑えた料理を作る。
頼る,たよる,dựa vào; nhờ cậy,困ったときは友人を頼る。
絡む,からむ,quấn; vướng; có liên quan,糸が絡んでしまい、ほどくのに時間がかかった。
冷やす,ひやす,làm lạnh; làm nguội,飲み物を冷蔵庫で冷やしておいた。
励ます,はげます,động viên; khích lệ,試験に落ちた友人を励まし、次も頑張ろうと伝えた。
騙す,だます,lừa; đánh lừa,うまい話で人を騙して、お金を取る事件が増えている。
いい加減な,いいかげんな,qua loa; thiếu trách nhiệm; không chính xác,いい加減な説明では、誰も納得しない。
意外な,いがいな,bất ngờ; ngoài dự đoán,試験で意外な問題が出た。
過激な,かげきな,quá khích; cực đoan; mạnh bạo,過激な発言が、会場で大きな議論を呼んだ。
わがままな,わがままな,ích kỷ; chỉ làm theo ý mình,わがままな要求ばかりしていると、周りの人が困ってしまう。
確かな,たしかな,chắc chắn; xác thực,確かな証拠が見つかった。
確実な,かくじつな,chắc chắn; đáng tin cậy,確実な情報を確認してから伝える。
楽観的な,らっかんてきな,lạc quan,彼は楽観的な性格で、失敗してもすぐに気持ちを切り替える。
活発な,かっぱつな,sôi nổi; năng động; hoạt bát,会議では、若手社員からも活発な意見が出た。
完璧な,かんぺきな,hoàn hảo,完璧な計画に見えても、実行前には確認が必要だ。
頑丈な,がんじょうな,chắc chắn; bền; khỏe mạnh,この机は頑丈な作りなので、長く使えそうだ。
気楽な,きらくな,thoải mái; không phải lo nghĩ,一人旅なら、自分の好きなように動けて気楽だ。
気軽な,きがるな,thoải mái; không ngần ngại,分からないことがあれば、気軽に質問してください。
愚かな,おろかな,ngu ngốc; dại dột,確かめずにうわさを信じるのは、愚かなことだ。
結構な,けっこうな,tốt; đáng quý; khá đáng kể,結構な品をいただき、ありがとうございました。
健全な,けんぜんな,lành mạnh; vững mạnh,子どもの健全な成長を支える環境が必要だ。
賢明な,けんめいな,sáng suốt; khôn ngoan,危険を感じて引き返したのは、賢明な判断だった。
広大な,こうだいな,rộng lớn; bao la,窓の外には、広大な草原が広がっていた。
国際的な,こくさいてきな,mang tính quốc tế,この大学では、国際的な交流が盛んに行われている。
自動的な,じどうてきな,tự động,一定の時間が過ぎると、自動的に電源が切れる。
手軽な,てがるな,tiện; đơn giản; dễ thực hiện,電子レンジで作れる、手軽な料理を教えてもらった。
重要な,じゅうような,quan trọng,重要な書類を安全な場所に保管する。
順調な,じゅんちょうな,thuận lợi; suôn sẻ,準備は順調に進み、予定どおり開店できそうだ。
上品な,じょうひんな,thanh lịch; tao nhã,彼女は上品な話し方をする。
慎重な,しんちょうな,thận trọng; cẩn thận,大きな契約なので、慎重な判断が求められる。
新たな,あらたな,mới; mới mẻ,転職を機に、新たな分野の勉強を始めた。
真剣な,しんけんな,nghiêm túc; hết lòng,学生たちは、真剣な表情で先生の話を聞いていた。
身近な,みぢかな,gần gũi; quen thuộc,身近な環境問題について考える。
盛大な,せいだいな,long trọng; quy mô lớn,創立百周年を祝い、盛大な式典が開かれた。
積極的な,せっきょくてきな,tích cực; chủ động,会議で積極的に意見を述べる。
切実な,せつじつな,bức thiết; tha thiết,保育所を増やしてほしいという、切実な声が寄せられた。
対照的な,たいしょうてきな,tương phản; đối lập rõ rệt,兄は静かだが、弟は対照的にとても活発だ。
大幅な,おおはばな,đáng kể; với mức độ lớn,作業方法を変えた結果、大幅な時間短縮が実現した。
単純な,たんじゅんな,đơn giản; đơn thuần,原因はそれほど単純ではない。
短期的な,たんきてきな,ngắn hạn,短期的な利益だけでなく、将来への影響も考えるべきだ。
段階的な,だんかいてきな,theo từng giai đoạn,混乱を避けるため、新しい制度を段階的に導入する。
地味な,じみな,giản dị; không nổi bật,彼女は地味な色の服を選んだ。
