từ mới,cách đọc,nghĩa tiếng việt,ví dụ sử dụng minh hoạ
連帯,れんたい (する),đoàn kết; cùng chịu trách nhiệm,仲間と連帯して行動する。
連中,れんちゅう,đám người; nhóm người,あの連中とは学生時代からの友人だ。
連邦,れんぽう,liên bang,複数の州が連邦を構成する。
連盟,れんめい,liên đoàn; liên minh,国際連盟の歴史を学ぶ。
路地,ろじ,ngõ; hẻm,狭い路地を歩く。
露出,ろしゅつ (する),lộ ra; phơi bày,岩肌が露出している。
労力,ろうりょく,công sức lao động,多くの労力を費やした。
廊下,ろうか,hành lang,廊下を走らないでください。
朗読,ろうどく (する),đọc thành tiếng có diễn cảm,詩を朗読する。
浪費,ろうひ (する),lãng phí,時間を浪費しない。
老衰,ろうすい (する),suy yếu do tuổi già,祖父は老衰で亡くなった。
優越,ゆうえつ (する),vượt trội hơn,性能で他社に優越する。
優勢,ゆうせい,chiếm ưu thế,試合は終始優勢だった。
幽霊,ゆうれい,ma,幽霊の話を聞いた。
有機,ゆうき,hữu cơ,有機肥料を使う。
有数,ゆうすう,thuộc hàng đầu,世界有数の都市だ。
有様,ありさま,tình trạng; cảnh tượng,被害の有様を伝える。
猶予,ゆうよ (する),gia hạn; khoảng thời gian trì hoãn,支払いを一か月猶予する。
由緒,ゆいしょ,nguồn gốc có truyền thống,由緒ある寺を訪ねる。
由来,ゆらい (する),nguồn gốc; bắt nguồn,地名は古い伝説に由来する。
誘因,ゆういん,tác nhân khởi phát,過労が発症の誘因となった。
誘拐,ゆうかい (する),bắt cóc,子供が誘拐された。
誘致,ゆうち (する),"thu hút cơ sở, sự kiện về địa phương",市が企業を誘致する。
誘導,ゆうどう (する),hướng dẫn; dẫn dắt,客を出口へ誘導する。
誘発,ゆうはつ (する),gây ra; kích phát,不用意な発言が混乱を誘発した。
誘惑,ゆうわく (する),cám dỗ,甘い言葉で誘惑する。
遊牧,ゆうぼく (する),chăn nuôi du mục,草原で遊牧を営む。
郵送,ゆうそう (する),gửi qua bưu điện,申込書を会社へ郵送する。
融合,ゆうごう (する),dung hợp; hòa quyện,伝統と技術を融合する。
融資,ゆうし (する),cho vay vốn,銀行が企業に融資する。
融通,ゆうずう (する),linh động; hỗ trợ xoay xở,資金を融通してもらった。
融和,ゆうわ (する),hòa hợp,住民同士の融和を図る。
夕闇,ゆうやみ,bóng tối lúc chạng vạng,町が夕闇に包まれる。
予断,よだん,phán đoán trước; định kiến,状況は予断を許さない。
余暇,よか,thời gian rảnh,余暇に読書を楽しむ。
余興,よきょう,tiết mục giải trí trong buổi tiệc,宴会の余興で歌う。
余地,よち,chỗ trống; khả năng còn lại,改善の余地がある。
妖怪,ようかい,yêu quái,妖怪が登場する物語だ。
容赦,ようしゃ (する),nương tay; tha thứ,今回は容赦しない。
様式,ようしき,kiểu cách; hình thức,建築の様式を調べる。
様相,ようそう,diện mạo; tình hình thể hiện ra,事態は新たな様相を呈した。
洋風,ようふう,phong cách phương Tây,洋風の家に住む。
溶液,ようえき,dung dịch,溶液の濃度を測る。
用心,ようじん (する),cẩn thận đề phòng,火の元に用心する。
要因,よういん,yếu tố gây nên,成功の要因を分析する。
要人,ようじん,nhân vật quan trọng,各国の要人が出席した。
要望,ようぼう (する),yêu cầu; nguyện vọng,住民が公園の整備を要望している。
要領,ようりょう,điểm cốt yếu; cách làm hiệu quả,作業の要領をつかむ。
養殖,ようしょく (する),nuôi trồng thủy sản,この湾では真珠を養殖している。
抑圧,よくあつ (する),áp chế; đè nén,感情を抑圧し続けるのはつらい。
抑制,よくせい (する),kiềm chế; hạn chế,無駄な支出を抑制する。
欲望,よくぼう,ham muốn; dục vọng,欲望のままに行動してはいけない。
羅列,られつ (する),liệt kê hàng loạt,事実を羅列するだけでは説明にならない。
落札,らくさつ (する),trúng thầu; mua được qua đấu giá,競売で古い時計を落札した。
落胆,らくたん (する),thất vọng; chán nản,試験の結果に落胆した。
酪農,らくのう,chăn nuôi lấy sữa,北海道で酪農を営んでいる。
利潤,りじゅん,lợi nhuận,企業は利潤の追求だけでなく社会的責任も重視すべきだ。
利息,りそく,tiền lãi,預金に利息がつく。
理屈,りくつ,lý lẽ; lý sự,理屈は分かるが納得できない。
理想,りそう,lý tưởng,理想の暮らしを思い描く。
理念,りねん,triết lý; tư tưởng nền tảng,会社の理念を社員と共有する。
率先,そっせん (する),đi đầu; chủ động làm trước,リーダーが率先して行動する。
立腹,りっぷく (する),nổi giận,失礼な態度に立腹した。
略奪,りゃくだつ (する),cướp bóc,武装集団が村の食料を略奪した。
留保,りゅうほ (する),bảo lưu; tạm giữ lại quyết định,詳しい資料を読むまで判断を留保する。
了承,りょうしょう (する),hiểu và chấp thuận,日程の変更を了承した。
両極,りょうきょく,hai cực; hai thái cực,二人の意見は両極に分かれた。
良識,りょうしき,lương tri; khả năng phán đoán đúng đắn,良識ある行動が求められる。
領域,りょういき,lĩnh vực; phạm vi,新しい研究領域に挑戦する。
領海,りょうかい,lãnh hải,船が領海の外に出た。
領土,りょうど,lãnh thổ,国の領土を守る。
領地,りょうち,lãnh địa,領主が広い領地を治めていた。
老舗,しにせ,cửa hàng lâu đời,江戸時代から続く老舗で菓子を買う。
論議,ろんぎ (する),bàn luận; tranh luận,新制度の是非を論議する。
論文,ろんぶん,luận văn; bài nghiên cứu,研究の成果を論文にまとめる。
論理,ろんり,logic; lý luận,説明の論理に矛盾がある。
和解,わかい (する),hòa giải,長年争っていた両者が和解した。
賄賂,わいろ,hối lộ; của hối lộ,賄賂を受け取った疑いがある。
脇役,わきやく,vai phụ,脇役の演技も印象に残った。
惑星,わくせい,hành tinh,地球は太陽の周りを回る惑星だ。
枠内,わくない,trong khung; trong phạm vi,予算の枠内で計画を立てる。
腕前,うでまえ,tay nghề; trình độ kỹ năng,料理の腕前を披露する。
腕力,わんりょく,sức cánh tay; sức mạnh thể chất,腕力で問題を解決してはいけない。
嗜好,しこう (する),sở thích về ăn uống và thú vui,消費者の嗜好に合わせて商品を開発する。
躊躇,ちゅうちょ (する),do dự; chần chừ,困っている人を見て、躊躇せずに声をかけた。
嫌味,いやみ (な),"lời mỉa mai; vẻ khó ưa, phô trương",嫌味な言い方は避けたい。
目処,めど,triển vọng; mốc dự kiến,完成の目処が立った。
刺繍,ししゅう,thêu; hình thêu,ハンカチに花の刺繍を施す。
裸足,はだし,chân trần,砂浜を裸足で歩く。
解熱剤,げねつざい,thuốc hạ sốt,薬の説明書に解熱剤と書かれていた。
感無量,かんむりょう,xúc động khôn xiết,長年の夢が実現して感無量だ。
区役所,くやくしょ,trụ sở hành chính quận,区役所で必要な書類を受け取る。
掲示板,けいじばん,bảng thông báo; diễn đàn,掲示板で試験の日程を確認する。
香辛料,こうしんりょう,gia vị tạo hương và vị cay,カレーに数種類の香辛料を加える。
取締役,とりしまりやく,thành viên hội đồng quản trị,株主総会で取締役を選任する。
奨学金,しょうがくきん,học bổng; khoản hỗ trợ học tập,奨学金を受けて大学に通う。
口喧嘩,くちげんか,cãi nhau bằng lời,些細なことで兄と口喧嘩になった。
身代金,みのしろきん,tiền chuộc người,犯人が身代金を要求した。
精一杯,せいいっぱい,hết sức mình,最後まで精一杯努力する。
大惨事,だいさんじ,thảm họa lớn,迅速な対応で大惨事を防いだ。
