từ mới,cách đọc,nghĩa tiếng việt,ví dụ sử dụng minh hoạ
船舶,せんぱく,tàu thuyền,船舶の安全を確認する。
選考,せんこう (する),tuyển chọn,応募者を選考する。
選出,せんしゅつ (する),bầu chọn ra,代表を選出する。
選択,せんたく (する),lựa chọn,最適な方法を選択する。
銭湯,せんとう,nhà tắm công cộng,近所の銭湯に行く。
前提,ぜんてい,tiền đề; điều kiện tiên quyết,安全を前提に計画する。
前途,ぜんと,tương lai; con đường phía trước,前途に希望を抱く。
全盛,ぜんせい,thời cực thịnh,その文化は全盛を迎えた。
全滅,ぜんめつ (する),bị tiêu diệt hoàn toàn,水不足で苗が全滅した。
措置,そち (する),biện pháp xử lý,緊急の措置を取る。
疎通,そつう (する),sự thông suốt trong giao tiếp,意思の疎通を図る。
素材,そざい,nguyên liệu; chất liệu,素材の味を生かす。
素質,そしつ,tố chất,音楽家としての素質がある。
素手,すで,tay không,素手で触らないでください。
素朴,そぼく (な),mộc mạc; đơn sơ,素朴な疑問を持つ。
訴訟,そしょう (する),kiện tụng; vụ kiện,訴訟を起こす。
阻止,そし (する),ngăn chặn,計画の実行を阻止する。
創刊,そうかん (する),xuất bản số đầu tiên,新しい雑誌を創刊する。
創作,そうさく (する),sáng tác,物語を創作する。
創造,そうぞう (する),sáng tạo,新しい価値を創造する。
創立,そうりつ (する),thành lập,学校を創立した。
倉庫,そうこ,nhà kho,商品を倉庫に保管する。
喪失,そうしつ (する),mất đi,自信を喪失した。
想定,そうてい (する),giả định,地震を想定して訓練する。
捜査,そうさ (する),điều tra vụ án,警察が事件を捜査する。
捜索,そうさく (する),"tìm kiếm người, vật mất tích",行方不明者を捜索する。
挿入,そうにゅう (する),chèn vào,文中に図を挿入する。
操作,そうさ (する),thao tác; điều khiển,機械を操作する。
操縦,そうじゅう (する),lái; điều khiển phương tiện,飛行機を操縦する。
争奪,そうだつ (する),tranh giành,優勝杯を争奪する。
相応,そうおう (する),tương xứng,能力に相応した仕事を任せる。
相互,そうご,lẫn nhau,相互の理解を深める。
相場,そうば,giá thị trường,家賃の相場を調べる。
相当,そうとう (する),tương đương; khá nhiều,この仕事には相当な時間がかかる。
総会,そうかい,đại hội; cuộc họp toàn thể,株主総会を開く。
総勢,そうぜい,tổng số người,総勢百人が参加した。
草花,くさばな,hoa cỏ,春になると草花が咲く。
装飾,そうしょく (する),trang trí,会場を花で装飾する。
装着,そうちゃく (する),gắn; đeo vào,安全ベルトを装着する。
装備,そうび (する),trang bị,車に新しい機能を装備する。
遭遇,そうぐう (する),bất ngờ gặp phải,山で野生動物に遭遇した。
遭難,そうなん (する),"gặp nạn khi đi núi, biển",登山中に遭難した。
騒音,そうおん,tiếng ồn,工事の騒音が響く。
騒動,そうどう,vụ náo loạn; vụ lùm xùm,発言が騒動を招いた。
増強,ぞうきょう (する),tăng cường sức mạnh,守備を増強する。
増進,ぞうしん (する),nâng cao; tăng tiến,健康を増進する。
増築,ぞうちく (する),xây thêm vào công trình,校舎を増築する。
促進,そくしん (する),thúc đẩy,交流を促進する。
即刻,そっこく,ngay lập tức,即刻、中止する。
束縛,そくばく (する),ràng buộc; gò bó,他人を束縛しない。
損害,そんがい,thiệt hại,大きな損害を受けた。
損傷,そんしょう (する),hư hại; tổn thương,橋が損傷した。
多発,たはつ (する),xảy ra nhiều,この道では事故が多発する。
妥協,だきょう (する),thỏa hiệp,条件をめぐって妥協した。
打開,だかい (する),tháo gỡ bế tắc,事態を打開する。
打撃,だげき,đòn đánh; tổn thất nặng,経営に打撃を与えた。
対抗,たいこう (する),đối kháng; cạnh tranh chống lại,強敵に対抗する。
対処,たいしょ (する),ứng phó,問題に対処する。
対照,たいしょう (する),đối chiếu; tương phản,原文と訳文を対照する。
対戦,たいせん (する),đấu với,決勝で強豪と対戦する。
対談,たいだん (する),cuộc đối thoại giữa hai người,作家と俳優が対談する。
対比,たいひ (する),so sánh đối chiếu,二つの作品を対比する。
対面,たいめん (する),gặp trực tiếp; đối mặt,恩師と久しぶりに対面した。
待望,たいぼう (する),mong đợi từ lâu,ファンが続編を待望している。
態勢,たいせい,tư thế sẵn sàng; sự bố trí lực lượng,受け入れ態勢を整える。
滞納,たいのう (する),chậm nộp tiền phải trả,家賃を滞納する。
貸与,たいよ (する),cho mượn,社員に端末を貸与する。
退化,たいか (する),thoái hóa,使わない機能が退化する。
退治,たいじ (する),diệt trừ,害虫を退治する。
代弁,だいべん (する),nói thay; đại diện tiếng nói,住民の意見を代弁する。
台帳,だいちょう,sổ đăng ký; sổ quản lý,備品を台帳に記録する。
台頭,たいとう (する),nổi lên; vươn lên,新勢力が台頭する。
台本,だいほん,kịch bản,撮影前に台本を読む。
大家,おおや,chủ nhà cho thuê,大家に修理を頼む。
大筋,おおすじ,nét chính; đại thể,計画の大筋が決まった。
大口,おおぐち,miệng lớn; đơn hàng lớn,大口の注文が入った。
大差,たいさ,chênh lệch lớn,両者に大差はない。
大損,おおぞん (する),thua lỗ lớn,取引で大損した。
大物,おおもの,nhân vật lớn; vật lớn,政界の大物が出席した。
達人,たつじん,bậc cao thủ,料理の達人に教わる。
脱出,だっしゅつ (する),thoát ra,建物から脱出した。
脱税,だつぜい (する),trốn thuế,脱税が発覚した。
脱帽,だつぼう (する),ngả mũ thán phục; bỏ mũ,彼の努力には脱帽する。
担架,たんか,cáng,けが人を担架で運ぶ。
探検,たんけん (する),thám hiểm,洞窟を探検する。
探知,たんち (する),dò tìm; phát hiện,機器が異常を探知した。
炭素,たんそ,cacbon,炭素の性質を調べる。
鍛錬,たんれん (する),rèn luyện,心身を鍛錬する。
弾丸,だんがん,viên đạn,弾丸が壁に当たった。
弾力,だんりょく,độ đàn hồi,弾力のある素材を使う。
断言,だんげん (する),khẳng định dứt khoát,成功するとは断言できない。
断絶,だんぜつ (する),cắt đứt; gián đoạn,交流が断絶した。
断念,だんねん (する),từ bỏ ý định,留学を断念した。
断面,だんめん,mặt cắt,木の断面を観察する。
段落,だんらく,đoạn văn,次の段落を読む。
談話,だんわ (する),trò chuyện; lời phát biểu,首相が談話を発表した。
地獄,じごく,địa ngục; cảnh khổ cực,地獄のような日々だった。
畜産,ちくさん,chăn nuôi,畜産の仕事に就く。
蓄積,ちくせき (する),tích lũy,経験を蓄積する。
秩序,ちつじょ,trật tự,社会の秩序を守る。
