từ mới,cách đọc,nghĩa tiếng việt,ví dụ sử dụng minh hoạ
言葉遣い,ことばづかい,cách dùng từ; cách nói năng,目上の人には丁寧な言葉遣いをする。
ご趣味,ごしゅみ,sở thích (cách nói lịch sự),ご趣味は何ですか。
ご自身,ごじしん,bản thân (cách nói kính trọng),ご自身で確認してください。
ご相談,ごそうだん,sự trao đổi; tư vấn (lịch sự),仕事についてご相談があります。
幸せ,しあわせ,hạnh phúc,家族と過ごす時間が幸せだ。
自分自身,じぶんじしん,chính bản thân mình,自分自身を信じて進む。
市役所,しやくしょ,tòa thị chính; ủy ban thành phố,市役所で住所変更の手続きをする。
商品名,しょうひんめい,tên sản phẩm,申込書に商品名を書く。
新入社員,しんにゅうしゃいん,nhân viên mới,新入社員の研修が始まった。
新入生,しんにゅうせい,học sinh; sinh viên mới,新入生を歓迎する会を開く。
全て,すべて,tất cả,問題を全て解き終えた。
専門店,せんもんてん,cửa hàng chuyên doanh,駅前に紅茶の専門店がある。
掃除機,そうじき,máy hút bụi,掃除機で部屋をきれいにする。
卒業論文,そつぎょうろんぶん,luận văn tốt nghiệp,卒業論文の資料を集める。
祖父母,そふぼ,ông bà,夏休みに祖父母を訪ねる。
それぞれ,それぞれ,mỗi; từng người; lần lượt,それぞれの意見を聞く。
大学院,だいがくいん,cao học; trường sau đại học,大学院で環境問題を研究する。
食べ放題,たべほうだい,ăn thỏa thích; buffet không giới hạn,この店は焼肉の食べ放題がある。
段ボール箱,だんボールばこ,thùng các-tông,本を段ボール箱に入れる。
長時間,ちょうじかん,thời gian dài,長時間パソコンを使うと目が疲れる。
調味料,ちょうみりょう,gia vị,料理に調味料を加える。
流れ,ながれ,dòng chảy; tiến trình,川の流れが速い。
夏祭り,なつまつり,lễ hội mùa hè,浴衣を着て夏祭りへ行く。
人間関係,にんげんかんけい,quan hệ con người,職場の人間関係を大切にする。
人数分,にんずうぶん,phần đủ theo số người,参加者の人数分の資料を用意する。
外れ,はずれ,trật; không trúng; ngoài phạm vi,このくじは外れだった。
話し声,はなしごえ,tiếng nói chuyện,隣の部屋から話し声が聞こえる。
はんこ,はんこ,con dấu,書類にはんこを押す。
一人暮らし,ひとりぐらし,sống một mình,大学進学を機に一人暮らしを始めた。
美容院,びよういん,tiệm làm tóc; thẩm mỹ viện,美容院で髪を切ってもらう。
不動産,ふどうさん,bất động sản,不動産会社で部屋を探す。
保育園,ほいくえん,nhà trẻ,娘を近所の保育園に預ける。
祭り,まつり,lễ hội,町の祭りに参加する。
周り,まわり,xung quanh,家の周りに木が多い。
山登り,やまのぼり,leo núi,週末に家族と山登りをする。
郵便局,ゆうびんきょく,bưu điện,郵便局で荷物を送る。
冷蔵庫,れいぞうこ,tủ lạnh,牛乳を冷蔵庫に入れる。
愛する,あいする,yêu,家族を心から愛する。
飽きる,あきる,chán; ngán,同じ料理を毎日食べて飽きた。
空く,あく／すく,trống; mở; vắng,午後なら席が空いている。
空ける,あける,làm trống; dành chỗ,会議のために部屋を空ける。
憧れる,あこがれる,ngưỡng mộ; ao ước,海外での生活に憧れる。
預ける,あずける,gửi; giao phó,駅のロッカーに荷物を預ける。
与える,あたえる,trao; gây ra,子どもに良い影響を与える。
温める,あたためる,làm ấm; hâm nóng,冷めたスープを温める。
扱う,あつかう,xử lý; sử dụng; đối xử,この店では輸入品を扱っている。
浴びる,あびる,tắm; chịu; nhận,朝、シャワーを浴びる。
溢れる,あふれる,tràn; đầy ắp,大雨で川の水が溢れた。
余る,あまる,dư; thừa,料理が少し余った。
謝る,あやまる,xin lỗi,遅刻したことを先生に謝る。
表す,あらわす,biểu thị; thể hiện,この数字は売上の変化を表す。
現れる,あらわれる,xuất hiện; lộ ra,雲の間から月が現れた。
合わせる,あわせる,ghép; điều chỉnh cho phù hợp,時計を正しい時刻に合わせる。
植える,うえる,trồng,庭に桜の木を植える。
動かす,うごかす,di chuyển; vận hành,重い机を二人で動かす。
疑う,うたがう,nghi ngờ,彼の説明を疑う理由はない。
移る,うつる,chuyển; lây; dời,新しい事務所へ移る。
映る,うつる,phản chiếu; hiện lên,鏡に自分の顔が映る。
生む,うむ,sinh; tạo ra,新しい技術が利益を生む。
埋める,うめる,chôn; lấp; điền kín,穴を土で埋める。
贈る,おくる,tặng; trao,卒業祝いに花を贈る。
遅れる,おくれる,trễ; chậm,電車が十分遅れている。
怒る,おこる,tức giận,約束を破って母に怒られた。
抑える,おさえる,kiềm chế; giữ; hạn chế,塩分を抑えた料理を作る。
押す,おす,ấn; đẩy,エレベーターのボタンを押す。
落とす,おとす,làm rơi; đánh rơi,道で財布を落とした。
驚く,おどろく,ngạc nhiên; giật mình,突然の知らせに驚いた。
折る,おる,bẻ; gấp,紙を半分に折る。
替える,かえる,đổi; thay thế,電球を新しい物に替える。
換える,かえる,đổi; chuyển đổi,円をドルに換える。
香る,かおる,tỏa hương,庭から花が香る。
輝く,かがやく,tỏa sáng; lấp lánh,夜空に星が輝いている。
関わる,かかわる,liên quan; tham gia,多くの人がこの計画に関わっている。
描く,かく／えがく,vẽ; miêu tả,画家が美しい景色を描く。
隠す,かくす,che giấu; giấu,大切な手紙を引き出しに隠す。
重ねる,かさねる,chồng lên; tích lũy,皿を重ねて棚に置く。
稼ぐ,かせぐ,kiếm tiền,アルバイトで生活費を稼ぐ。
構う,かまう,bận tâm; quan tâm,私は時間が遅くても構いません。
枯れる,かれる,héo; khô,水をやらなかったので花が枯れた。
感じる,かんじる,cảm thấy,春の風に暖かさを感じる。
聴く,きく,nghe chăm chú,家でクラシック音楽を聴く。
気付く,きづく,nhận ra,忘れ物に駅で気付いた。
配る,くばる,phân phát,参加者に資料を配る。
組む,くむ,lắp; ghép; lập nhóm,三人でチームを組む。
暮らす,くらす,sinh sống,家族と田舎で暮らす。
比べる,くらべる,so sánh,二つの商品を比べる。
加える,くわえる,thêm vào,スープに塩を少し加える。
超える,こえる,vượt quá; vượt qua,参加者が百人を超えた。
凍る,こおる,đóng băng,寒さで湖の水が凍った。
断る,ことわる,từ chối,忙しいので誘いを断った。
困る,こまる,khó khăn; bối rối,お金が足りなくて困っている。
転ぶ,ころぶ,ngã,道が凍っていて転んだ。
捜す,さがす,tìm kiếm (người/vật thất lạc),警察が行方不明の子どもを捜す。
探す,さがす,tìm kiếm (thứ mong muốn),駅の近くで部屋を探す。
沈む,しずむ,chìm; lặn,夕日が海に沈む。
従う,したがう,tuân theo,係員の指示に従う。
支払う,しはらう,chi trả; thanh toán,カードで代金を支払う。
絞る,しぼる,vắt; siết; thu hẹp,レモンの汁を絞る。
締める,しめる,thắt; siết; đóng,安全のためシートベルトを締める。
閉める,しめる,đóng,部屋を出る前に窓を閉める。
