từ mới,cách đọc,nghĩa tiếng việt,ví dụ sử dụng minh hoạ
一部,いちぶ,một phần,売上の一部を寄付した。
一面,いちめん,toàn bộ một mặt; một phương diện,野原一面に花が咲いた。
一両,いちりょう,một toa xe,電車は一両だけだった。
一例,いちれい,một ví dụ,具体的な一例を挙げる。
一家,いっか,một gia đình,一家で田舎へ引っ越した。
一種,いっしゅ,một loại,これは一種のスポーツだ。
一瞬,いっしゅん,một khoảnh khắc,一瞬、何が起きたか分からなかった。
一生,いっしょう,cả đời,一生この恩を忘れない。
一致,いっち（する）,nhất trí; trùng khớp,二人の意見が一致した。
一定,いってい,nhất định; cố định,室温を一定に保つ。
一転,いってん（する）,thay đổi hoàn toàn,天気は午後から一転した。
一歩,いっぽ,một bước,目標へ一歩近づいた。
意図,いと（する）,ý đồ; chủ đích,質問の意図を説明した。
違反,いはん（する）,vi phạm,交通規則に違反した。
以来,いらい,kể từ,卒業以来、彼に会っていない。
依頼,いらい（する）,nhờ; yêu cầu,専門家に調査を依頼した。
医療,いりょう,y tế; điều trị,地域の医療を支える。
衣類,いるい,quần áo,不要な衣類を寄付する。
印鑑,いんかん,con dấu,契約書に印鑑を押す。
引退,いんたい（する）,giải nghệ; nghỉ hưu,選手は今季で引退する。
植木,うえき,cây trồng trong vườn; cây cảnh,庭の植木に水をやる。
有無,うむ,có hay không,経験の有無を確認する。
運営,うんえい（する）,vận hành; quản lý,市が施設を運営している。
映像,えいぞう,hình ảnh; video,監視カメラの映像を確認した。
演技,えんぎ（する）,diễn xuất,俳優の演技に感動した。
園芸,えんげい,làm vườn,母は園芸を楽しんでいる。
演劇,えんげき,kịch; sân khấu,学校で演劇を鑑賞した。
演説,えんぜつ（する）,diễn thuyết,候補者が街頭で演説した。
沿線,えんせん,dọc tuyến đường sắt,沿線に新しい店が増えた。
遠足,えんそく,chuyến dã ngoại,小学生が遠足に出かけた。
延長,えんちょう（する）,kéo dài; gia hạn,会議を三十分延長した。
園内,えんない,bên trong công viên,園内では自転車に乗れない。
大型,おおがた,cỡ lớn,大型の台風が近づいている。
大声,おおごえ,tiếng lớn,図書館では大声を出さない。
大手,おおて,công ty lớn; doanh nghiệp hàng đầu,大手企業に就職した。
屋外,おくがい,ngoài trời,屋外でイベントを開催する。
温室,おんしつ,nhà kính,温室で野菜を育てる。
介護,かいご（する）,chăm sóc người già; điều dưỡng,祖母の介護を家族で行う。
開催,かいさい（する）,tổ chức,来月、説明会を開催する。
解釈,かいしゃく（する）,giải thích; diễn giải,文章を別の意味に解釈した。
解消,かいしょう（する）,giải tỏa; loại bỏ,運動でストレスを解消する。
改正,かいせい（する）,sửa đổi luật lệ,法律が来年改正される。
改善,かいぜん（する）,cải thiện,作業環境を改善した。
回答,かいとう（する）,trả lời,質問にメールで回答する。
開発,かいはつ（する）,phát triển; khai thác,新しいアプリを開発する。
回復,かいふく（する）,hồi phục,けがは順調に回復した。
解放,かいほう（する）,giải phóng,人質が無事に解放された。
開放,かいほう（する）,mở cửa; mở cho sử dụng,体育館を市民に開放する。
解約,かいやく（する）,hủy hợp đồng,携帯電話の契約を解約した。
改良,かいりょう（する）,cải tiến,使いやすいよう製品を改良する。
係長,かかりちょう,trưởng nhóm; trưởng bộ phận,係長が会議を進行した。
下記,かき,ghi dưới đây,下記の住所へ送ってください。
覚悟,かくご（する）,quyết tâm; chuẩn bị tinh thần,失敗する覚悟で挑戦した。
拡大,かくだい（する）,mở rộng; phóng to,写真を画面いっぱいに拡大する。
確信,かくしん（する）,tin chắc,成功を確信している。
各自,かくじ,mỗi người,各自で昼食を用意する。
拡張,かくちょう（する）,mở rộng,店舗を全国へ拡張する。
確定,かくてい（する）,xác định; chốt,旅行の日程が確定した。
獲得,かくとく（する）,giành được; đạt được,大会で金メダルを獲得した。
確保,かくほ（する）,đảm bảo; giữ được,十分な睡眠時間を確保する。
確率,かくりつ,xác suất,雨が降る確率は高い。
家計,かけい,tài chính gia đình,毎月、家計を見直している。
加減,かげん（する）,điều chỉnh; mức độ,火の加減を弱くする。
歌詞,かし,lời bài hát,好きな曲の歌詞を覚える。
家事,かじ,việc nhà,夫婦で家事を分担する。
果実,かじつ,trái cây; quả,秋に多くの果実が実る。
箇所,かしょ,chỗ; địa điểm,三箇所を修正してください。
数々,かずかず,nhiều; vô số,数々の困難を乗り越えた。
加速,かそく（する）,tăng tốc,車が一気に加速した。
課題,かだい,nhiệm vụ; vấn đề cần giải quyết,今日の課題を提出する。
方々,かたがた,các vị; nhiều người,関係者の方々に感謝する。
肩幅,かたはば,chiều rộng vai,この服は肩幅が合わない。
活気,かっき,sức sống; sự nhộn nhịp,市場は朝から活気がある。
格好,かっこう,hình dáng; trang phục,面接に適した格好をする。
活躍,かつやく（する）,hoạt động nổi bật,海外で多くの選手が活躍した。
活用,かつよう（する）,tận dụng,空き部屋を会議に活用する。
活力,かつりょく,sinh lực,子どもたちは活力にあふれている。
過程,かてい,quá trình,製造の過程を見学した。
加熱,かねつ（する）,gia nhiệt; đun nóng,肉を十分に加熱する。
壁紙,かべがみ,giấy dán tường,部屋の壁紙を張り替える。
紙袋,かみぶくろ,túi giấy,商品を紙袋に入れる。
鑑賞,かんしょう（する）,thưởng thức nghệ thuật,美術館で絵画を鑑賞する。
感情,かんじょう,cảm xúc,顔に感情が表れている。
観戦,かんせん（する）,xem thi đấu,家族で野球を観戦した。
観測,かんそく（する）,quan sát; đo đạc,気象衛星で台風を観測する。
監督,かんとく,giám sát; đạo diễn; huấn luyện viên,監督が選手に指示を出す。
完備,かんび（する）,trang bị đầy đủ,全室にエアコンを完備している。
看病,かんびょう（する）,chăm sóc người bệnh,風邪を引いた娘を看病する。
完了,かんりょう（する）,hoàn tất,登録手続きが完了した。
関連,かんれん（する）,liên quan,事故に関連する資料を集める。
外観,がいかん,ngoại quan,建物の外観を撮影した。
外見,がいけん,vẻ bề ngoài,人を外見だけで判断しない。
外部,がいぶ,bên ngoài; bộ phận bên ngoài,外部の専門家に相談する。
概要,がいよう,tổng quan,計画の概要を説明する。
学業,がくぎょう,việc học,学業と仕事を両立する。
学者,がくしゃ,học giả,著名な学者が講演した。
